"NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","Stage","Collection","Pathway","Species","SignedProp"
11,0,0.454545454545455,"Up",0.061,0.061,0.0195,0.0195,"MII","vitro - vivo","Integrins","Bovine",0.454545454545455
19,0.105263157894737,0.421052631578947,"Up",0.1035,0.1035,0.0025,0.0025,"MII","vitro - vivo","I_FAK_ERK","Bovine",0.421052631578947
20,0.05,0.55,"Up",0.002,0.002,0.001,0.001,"MII","vitro - vivo","I_RhoA","Bovine",0.55
16,0.1875,0.3125,"Up",0.3925,0.3925,0.0095,0.0095,"MII","vitro - vivo","I_ILK","Bovine",0.3125
9,0.222222222222222,0.444444444444444,"Up",0.0135,0.0135,5e-04,5e-04,"MII","vitro - vivo","P_PI3K_Akt","Bovine",0.444444444444444
4,0.25,0.75,"Up",0.0015,0.0015,5e-04,5e-04,"MII","vitro - vivo","P_Calpain","Bovine",0.75
8,0,0.75,"Up",0.001,0.001,0.001,0.001,"MII","vitro - vivo","P_MMP","Bovine",0.75
10,0.1,0.7,"Up",5e-04,5e-04,5e-04,5e-04,"MII","vitro - vivo","P_RhoA","Bovine",0.7
11,0.181818181818182,0.454545454545455,"Up",0.168,0.168,0.0015,0.0015,"MII","vitro - vivo","G_cAMP_PKA","Bovine",0.454545454545455
9,0.333333333333333,0.333333333333333,"Up",0.1355,0.1355,0.001,0.001,"MII","vitro - vivo","G_Ras_MAPK","Bovine",0.333333333333333
8,0.25,0.375,"Up",0.184,0.184,5e-04,5e-04,"MII","vitro - vivo","G_RhoA","Bovine",0.375
9,0.111111111111111,0.222222222222222,"Up",0.1975,0.1975,0.052,0.052,"MII","vitro - vivo","T_TRP","Bovine",0.222222222222222
10,0.2,0.5,"Up",0.024,0.024,0.0015,0.0015,"MII","vitro - vivo","C_YAP_TAZ","Bovine",0.5
6,0.166666666666667,0.5,"Up",0.123,0.123,0.0145,0.0145,"MII","vitro - vivo","C_RhoA","Bovine",0.5
10,0.2,0.3,"Up",0.323,0.323,0.0105,0.0105,"MII","vitro - vivo","S_PI3K_Akt","Bovine",0.3
7,0.142857142857143,0.428571428571429,"Up",0.0735,0.0735,0.0105,0.0105,"MII","vitro - vivo","S_RhoA","Bovine",0.428571428571429
5,0.2,0.8,"Up",5e-04,5e-04,5e-04,5e-04,"MII","vitro - vivo","TLR_NFkB","Bovine",0.8
5,0.4,0.4,"Up",0.323,0.323,5e-04,5e-04,"MII","vitro - vivo","TLR_MAPK","Bovine",0.4
6,0.166666666666667,0.5,"Up",0.1325,0.1325,0.0155,0.0155,"MII","vitro - vivo","YAP_TAZ","Bovine",0.5
16,0.125,0.375,"Up",0.196,0.196,0.001,0.001,"MII","vitro - vivo","I_FAX_Paxillin","Bovine",0.375
5,0.4,0.6,"Up",0.0015,0.0015,5e-04,5e-04,"MII","vitro - vivo","ATC_Actin","Bovine",0.6
4,0,0.75,"Up",0.0035,0.0035,0.0035,0.0035,"MII","vitro - vivo","ATC_Tubulin","Bovine",0.75
5,0.2,0.4,"Up",0.238,0.238,0.0035,0.0035,"MII","vitro - vivo","ATC_Actin_associated","Bovine",0.4
7,0,0.714285714285714,"Up",5e-04,5e-04,5e-04,5e-04,"MII","vitro - vivo","ATC_RhoA","Bovine",0.714285714285714
5,0,0.8,"Up",0.022,0.022,0.022,0.022,"MII","vitro - vivo","Hippo","Bovine",0.8
2,0,1,"Up",5e-04,5e-04,5e-04,5e-04,"MII","vitro - vivo","PIEZO","Bovine",1
3,0.666666666666667,0,"Down",0.0745,0.0745,0.0015,0.0015,"MII","vitro - vivo","GPCRs","Bovine",-0.666666666666667
2,0,0.5,"Up",0.096,0.096,0.096,0.096,"MII","vitro - vivo","TMCs","Bovine",0.5
3,0.333333333333333,0.333333333333333,"Up",0.367,0.367,0.024,0.024,"MII","vitro - vivo","Cadherins","Bovine",0.333333333333333
4,0.25,0.25,"Up",0.488,0.488,0.035,0.035,"MII","vitro - vivo","SACs","Bovine",0.25
2,0.5,0.5,"Up",0.01,0.01,0.0025,0.0025,"MII","vitro - vivo","TLRs","Bovine",0.5
